Y1 Y2 Y3 Y4 Y5 Y6 Y7 Y8 Y9 Y10 Y11 Y12 Y13 Y14 Y15 Y16 Y17 Y18 Y19 Y20 Y21 Y22 Y23 Y24 Y25 Y26 Y27 Y28 Y29 Y30 Y31 Y32 Y33 Y34 Y35 Y36 Y37 Y38 Y39 Y40 Y41 Y42 Y43 Y44 Y45 Y46 Y47 Y48 Y49 Y50 Y51 Y52 Y53 Y54 Y55 Y56 Y57 Y58 Y59 Y60 Y61 Y62 Y63 Y64 Y65 Y66 Y67 Y68 Y69 Y70 Y71 Y72 Y73 Y74 Y75 Y76 X
2.7936 1.4752 -1.4537 0.1194 0.8976 2.2824 -0.3421 8.3449 2.6926 0.2066 3.018 1.1751 8.4093 9.855 -0.4541 0.4048 -2.0111 3.8622 -0.8111 3.2525 3.6851 1.4066 -1.5791 23.1095 1.0566 2.4127 -2.3566 8.6631 22.7469 -2.422 3.5571 1.8961 0.0066 1.7376 2.1588 4.0657 1.3298 6.4494 -1.2899 -0.6144 5.8854 1.0759 6.5516 12.268 -3.2194 3.9002 1.4567 8.8645 -1.117 2.3795 5.0323 3.3162 0.6895 -5.9556 2.4969 3.7127 -2.4819 4.5862 44.3813 -9.5253 6.5714 3.2692 -1.7145 -1.6168 1.8847 5.5941 3.0926 4.1399 -19.181 1.0801 8.635 -8.5187 3.9191 21.5076 1.6372 5.8789 1.137
9.772 -5.6849 5.9324 -5.8971 6.7202 12.8063 -6.8206 -6.8406 24.827 4.9308 6.3933 -5.9441 11.7228 23.4858 -5.978 8.1232 -4.6495 7.7169 -10.2109 7.033 11.3887 -8.026 -5.4715 43.5835 6.6822 14.4174 -13.7691 20.187 30.2249 -16.1472 8.2697 -4.0607 21.0551 -14.1993 7.6442 11.3337 -5.4907 -4.5418 62.1693 6.6262 20.0729 -16.4415 25.0951 39.1833 -21.9718 10.5971 -1.2109 17.1167 -22.5165 6.4156 10.7858 -0.7594 -5.063 77.7399 6.0267 23.2494 -22.3551 38.2988 57.6196 -22.5788 12.5265 0.2058 20.2873 -19.4924 6.2252 13.4508 -6.0011 -4.88 83.7734 4.947 26.9301 -33.3999 34.6876 43.5076 -30.4974 12.7668 6.223
7.058 -6.6688 6.5421 -4.4595 6.8422 1.9432 -1.8182 -2.2344 29.5625 6.0275 7.3119 -4.5747 13.3034 22.5277 -7.4146 9.0688 -5.5802 8.7706 -11.8967 6.084 9.8021 -4.5552 0.7662 40.1477 5.7555 13.4886 -10.7275 17.4628 24.0192 -13.2535 8.9133 -3.2104 15.3934 -20.2062 6.4781 0.8821 -6.3081 -3.6508 66.127 6.7749 12.7528 -16.8969 20.623 31.8153 -21.7585 9.9867 -2.1529 17.6692 -11.5372 7.3901 1.3646 0.3152 -8.4656 77.1477 7.8546 28.1697 -22.5717 28.9487 34.4986 -23.8544 10.4411 -0.3878 24.269 -23.6455 6.8574 7.1768 -0.2933 -3.8193 123.9641 6.0652 33.6126 -27.2912 29.2082 45.282 -32.0879 11.5578 6.0927
6.5642 -4.7374 3.6894 -4.6314 7.8882 8.2429 -3.6053 -6.6413 20.7592 7.604 8.0416 -4.2717 10.946 20.9227 -7.8371 8.6477 -3.645 9.355 -6.1172 6.3954 6.7942 -2.0075 -7.7817 41.9463 5.9666 16.0072 -11.0726 16.0018 20.5644 -12.6253 10.2436 -3.9753 16.9404 -12.0525 6.1412 16.9086 1.6349 0.0321 63.975 5.8612 22.9456 -21.7783 25.9051 35.9875 -18.2197 10.3999 -2.1343 25.0218 -21.7804 6.5836 4.5108 -0.3765 -2.9016 90.0764 5.7428 25.2633 -20.9713 26.6047 41.051 -21.0315 11.2169 -2.9589 33.4181 -25.6653 6.576 5.3684 1.0325 -6.8934 83.6935 5.2763 30.2013 -32.7018 40.2327 64.9294 -33.1266 11.0957 6.2338
9.6015 -7.7211 8.4552 -7.6432 9.4562 13.0013 -5.1338 -1.8076 38.6192 7.6951 9.956 -6.9841 14.3346 16.1194 -8.0503 11.5215 -7.0518 14.5981 -17.8672 7.6931 15.2457 -2.0352 -7.6959 58.3724 8.6102 19.6299 -13.0778 21.9418 30.3645 -15.715 11.6328 -6.0175 24.9262 -25.0584 8.0722 20.3899 -1.2564 -3.6769 109.1664 8.4507 26.7306 -25.0174 37.9203 47.3905 -23.7512 13.2672 -4.9584 27.1666 -29.8614 9.1737 4.6134 -13.0519 -8.6802 126.6687 8.4139 37.026 -31.3867 34.4175 68.621 -28.3239 13.0415 -2.6899 47.3101 -33.9286 8.8142 15.7666 -8.4158 -5.8817 186.4314 9.6777 44.7807 -35.871 42.3833 70.0942 -40.3019 12.8412 8.6092
9.1802 -5.6075 5.734 -6.1928 5.9942 7.3444 -13.0044 -3.5044 18.2656 6.2518 8.8719 -6.4898 11.9024 14.1177 -4.8284 10.3868 -3.5018 10.0539 -10.5218 8.61 10.4684 -2.0878 -0.1977 38.1193 5.4019 15.6906 -11.056 17.2514 28.3363 -11.988 8.7541 -3.7809 18.2787 -13.3801 5.0839 11.0259 -1.1167 -8.032 60.2133 6.2397 15.6328 -20.7705 25.9365 32.7206 -16.5978 10.5171 -1.3663 17.7839 -20.2871 5.537 13.4254 -2.6063 -4.0223 49.2404 6.3436 30.366 -24.0677 27.4447 37.6048 -25.3962 10.276 -1.1854 24.9994 -31.4601 6.7634 16.3575 -2.3546 -5.199 95.2365 6.2355 21.9198 -30.3876 32.5226 49.3564 -31.8837 11.6881 6.4031
-0.0437 1.5406 -1.2712 0.4346 -0.0914 0.7298 0.3611 2.022 0.4106 1.73 1.1158 2.5404 5.2746 8.8503 0.331 3.2641 2.3729 -0.893 0.2208 -0.6836 1.8297 2.0786 2.5168 -6.35 -2.2226 0.8678 3.1259 3.7359 14.6902 0.0891 2.5906 4.2334 -7.7283 2.3446 -0.1295 2.3244 2.7359 5.8269 -3.0283 0.1368 1.1992 -0.6857 4.6624 9.7752 3.7753 5.6801 5.3292 2.7043 4.3153 0.3378 3.9479 3.8107 3.0214 16.2588 -0.3766 6.2453 -5.7048 4.8668 19.1934 4.9401 3.246 4.3437 -0.3904 -2.1323 0.9034 5.2426 4.6331 2.1596 2.0845 -0.3188 8.1088 3.3461 0.3359 14.2985 2.8607 4.9248 0.095
4.6933 -4.2322 3.0748 -2.3383 4.0608 6.5113 -1.9881 2.4737 7.2313 2.0168 3.0393 -2.4508 7.5287 10.224 -2.5998 3.8168 -0.3035 0.1287 -2.4726 2.4517 3.7078 -0.6533 -3.7965 15.334 1.2899 6.0153 -1.9245 11.0492 20.2335 -7.4517 6.9399 1.3909 6.1967 -3.7649 2.1657 6.627 0.0041 -0.5048 -0.08 2.4653 7.3768 -3.8042 9.2104 14.9184 -6.7276 6.4411 3.2453 12.3678 0.4137 1.2646 5.9708 1.8157 1.6807 31.2023 1.7656 13.2039 -1.5431 10.2983 51.5229 -9.9584 7.521 2.3189 5.9819 -1.2095 1.1824 6.8367 1.3045 -0.8387 22.6544 0.7781 8.9028 -5.311 13.5582 32.7281 -16.0952 7.1471 2.3255
8.9904 -6.2145 4.6557 -4.8273 5.4729 11.3263 -6.3351 1.4856 19.399 7.5798 7.8536 -5.0192 10.5591 18.0201 -5.3973 9.365 -4.7459 10.2667 -10.9837 7.4302 5.0853 -3.2959 -4.4086 46.1359 8.3128 16.8351 -12.81 22.5097 26.1522 -13.7698 9.2139 -3.8931 14.2101 -15.4211 7.8542 0.6005 -5.3271 -5.6309 66.869 8.4317 15.772 -16.6491 22.1486 34.9829 -16.3166 9.4068 -3.6282 21.7352 -27.3193 4.2393 16.2577 -7.9326 -3.9412 101.4453 7.0953 27.0619 -19.8136 34.9695 82.1325 -26.4253 12.2624 -2.933 27.6966 -21.1871 4.7498 11.5853 -4.3673 -4.6058 101.1869 8.1687 31.406 -28.9304 37.0135 71.2604 -36.3912 14.2881 6.6608
6.479 -4.296 4.0251 -2.7885 5.0241 9.3933 -1.5922 -6.6553 18.7525 5.9213 5.1727 -2.1345 10.4595 17.1212 -5.251 6.9441 -3.5038 7.1714 -8.3818 3.5901 2.474 -1.0256 -1.0251 24.1287 6.4002 12.1216 -12.3699 10.9627 30.5566 -10.9625 8.9057 -3.3687 12.3325 -15.1271 4.0564 12.5214 -2.2422 -6.3295 56.8459 7.3925 22.4288 -8.8458 15.9437 25.2616 -12.7774 9.8844 -0.3832 25.6945 -17.9604 6.0841 5.7099 -1.6765 -3.5607 56.3178 4.1044 22.0155 -20.0173 22.8332 92.8641 -22.2062 10.7817 0.2437 17.3412 -18.2144 5.7333 13.7739 -2.0138 -3.4469 53.4846 5.4175 21.9097 -21.6829 32.5188 67.3861 -22.3479 9.9304 5.1425
